TICKER,revenuePerShareTTM,netIncomePerShareTTM,operatingCashFlowPerShareTTM,freeCashFlowPerShareTTM,cashPerShareTTM,bookValuePerShareTTM,tangibleBookValuePerShareTTM,shareholdersEquityPerShareTTM,interestDebtPerShareTTM,marketCapTTM,enterpriseValueTTM,peRatioTTM,priceToSalesRatioTTM,pocfratioTTM,pfcfRatioTTM,pbRatioTTM,ptbRatioTTM,evToSalesTTM,enterpriseValueOverEBITDATTM,evToOperatingCashFlowTTM,evToFreeCashFlowTTM,earningsYieldTTM,freeCashFlowYieldTTM,debtToEquityTTM,debtToAssetsTTM,netDebtToEBITDATTM,currentRatioTTM,interestCoverageTTM,incomeQualityTTM,dividendYieldTTM,dividendYieldPercentageTTM,payoutRatioTTM,salesGeneralAndAdministrativeToRevenueTTM,researchAndDevelopementToRevenueTTM,intangiblesToTotalAssetsTTM,capexToOperatingCashFlowTTM,capexToRevenueTTM,capexToDepreciationTTM,stockBasedCompensationToRevenueTTM,grahamNumberTTM,roicTTM,returnOnTangibleAssetsTTM,grahamNetNetTTM,workingCapitalTTM,tangibleAssetValueTTM,netCurrentAssetValueTTM,investedCapitalTTM,averageReceivablesTTM,averagePayablesTTM,averageInventoryTTM,daysSalesOutstandingTTM,daysPayablesOutstandingTTM,daysOfInventoryOnHandTTM,receivablesTurnoverTTM,payablesTurnoverTTM,inventoryTurnoverTTM,roeTTM,capexPerShareTTM,dividendPerShareTTM
PSA,16.460270612574718,8.3959585771349,11.774243092846131,7.699134062684463,7.269489320488501,51.53611319651791,70.82264044976016,51.53611319651791,14.38956290510221,47818934185,49008330185,32.64010862872994,16.648875735411366,23.27495685616564,35.59426264938274,5.317533337351412,5.317533337351412,17.062981707066566,24.949450408668714,23.853872740777298,36.47959550632888,0.030637152938878285,0.02809441537953425,0.27331874296581526,0.2709048470815189,0.6055047459534033,3.211442937218028,26.914728243439544,1.4023703171799191,0.029192285938440764,2.9192285938440765,0.9528393841516521,0.02208166417264524,0.003397741523750767,0.0,-9.120430957179511,-12.750268571377838,-2.386671756945123,0.009142810986135376,98.66934230829372,0.11925610393119024,0.11854907588613257,-11.91670726046317,873489000,,-11.91670726046317,0.27331874296581526,,,,0.0,0.0,0.0,,,,0.16349564061862887,-1.2909744230427582,8.0
PSB,15.120161525029104,6.313555005820722,10.076215075669383,8.16723661233993,2.5132057625145516,63.907050349243306,74.85830180442375,63.907050349243306,0.0389988358556461,4478619840,4409536840,25.806380058427976,10.775678535595961,16.169762036284865,19.949220003474373,2.5494839631873134,2.5494839631873134,10.609462998919694,16.27910274632574,15.920342413575232,19.64150199776393,0.03875010744381465,0.05012727313778881,0.0,0.03988181007481636,-0.25504022209834204,1.3085968439651496,167.2294776119403,1.5959653580874344,0.025777941447247283,2.577794144724728,0.6652353541115663,0.034949942616265224,0.0,0.0,-9.76123348017621,-14.647506607929515,-3.228229074889868,0.013589238324154342,95.28019336091471,0.09074021582879473,0.08434007790232322,0.5729136350407451,25325000,,0.9213111175785798,0.0,38729000,,,33.64119646891534,0.0,0.0,10.849792466128905,,,0.09883522763675504,-1.0322686263096623,4.2
PW,2.2309466374269005,1.1340194235588972,1.53093723893066,-1.4104558270676693,2.9249300334168757,7.941811299081036,21.167094298245615,7.941811299081036,13.035079887218044,81300240,99496557,37.43322126421699,19.027797118877043,27.728112505546463,-30.09665328424595,5.345128258702393,5.345128258702393,23.28652782110834,28.589025859165872,33.934115402494704,-36.83277415915641,0.02671423848195282,-0.03322628567886146,1.5248278502319206,0.6248038966907576,5.228472149589855,9.479728052424381,2.8616456462222346,1.3500097151123869,,,,0.12353240063856444,0.0,0.0,-0.19462005708003438,-0.2836085966671032,-0.02514750078540306,0.059824106907350814,14.235125082219747,0.08394599661864079,0.053574638426063415,-9.672746841060986,6524413.0,,-9.416894319131162,1.5646217852978113,1367774.5,76978.0,,136.90824135226623,1108.4910049064147,0.0,2.6660191993910107,0.329276465379,,0.15333153259521898,-7.8662870718462825,
QTS,11.147436073375697,0.3287186104211798,6.194397882576793,-9.79846004683119,0.4707052092010292,30.509013896251158,79.16697392539086,30.509013896251158,38.41076446080806,3245171755.3599997,5050171755.36,204.0346906859478,6.016630152308168,10.827525333600253,-6.844953153806077,2.198366693465675,2.198366693465675,9.363145604681042,19.15352547658419,16.849913268805363,-10.652190913167559,0.004901127335935289,-0.14609303782363486,1.2381839810212076,0.5935183446656879,6.84573023650955,0.6203191803850108,2.2782515297487307,18.84407419050613,0.028477709855374983,2.8477709855374984,5.810440721785602,0.1575272495351032,0.0,0.0174653693711441,-0.3873227605671662,-0.6970258925940668,-0.2502817221754121,0.05002159939336296,15.021644873287455,0.019062732422113825,0.004152218963566465,-45.6842759948321,-86052000,1516608000,-44.91660281747708,1.2381839810212076,97521000,180531500,,72.7899463630515,370.4478202432309,0.0,5.014428753381739,0.9852939605916591,,0.015012279771129984,-15.992857929407982,1.91
REG,5.988768325569195,0.2645507135744095,2.9415229356375088,2.9415229356375088,2.2163643767085235,35.271731165319935,63.343332382603286,35.271731165319935,25.58762743065287,10452296131.2,14263986131.2,232.8476047851367,10.285921353310208,20.94153312683574,20.94153312683574,1.746441072349936,1.746441072349936,14.03693864855955,23.176326670837025,28.578384532715713,28.578384532715713,0.004294654441143011,0.047751995708401114,0.6554956864862842,0.44608209050751474,6.193287892697272,1.8389177175627809,1.750936998616425,11.118937824411326,0.038636363636363635,3.8636363636363633,8.996384730334826,0.07380716904076562,0.0,0.017262563518889808,-12.31751437526221,-25.07773746946028,-8.53631450359073,0.013364823972248875,14.489690717809607,0.025347116467534146,0.004176457152214274,-25.90143700501129,253656000,5869348000,-25.47581705087311,0.6997200627177141,151385000,262368000,,51.591551652028436,352.50677948236375,0.0,7.07480175168659,1.035441078710548,,0.007375201527681589,-0.23880815934301608,2.38
REXR,2.617540378586452,0.6063970792491765,1.4523909678955513,0.8272471129806739,1.3992063177110203,25.75610936941942,38.52411603635065,25.75610936941942,9.897289574983134,7194314500,8234181500,94.16272266795808,21.81437217439819,39.31448298851329,69.02411516948258,2.216949741166871,2.216949741166871,24.967423900156763,40.61188490429242,44.99700263396614,79.000868280421,0.010619913822227258,0.014487690244845426,0.37476337699964346,0.2869182137408219,5.128737922496831,3.152633954649249,3.177315310058673,2.3951153750507177,0.015499124343257441,1.549912434325744,1.4594397471303482,0.11156863161277998,0.0,0.01965756000496044,-1.1194758478931142,-2.017551265110361,-0.640728233739539,0.03902703784449222,18.746057282128994,0.020102546222709888,0.015740713652637517,-9.57151672685424,162145000,3433264000,-9.39015833961665,0.37476337699964346,48706000,45298000,,56.55559328920518,207.8021978021978,0.0,6.453826735288938,1.7564780539397145,,0.026237888633464906,-1.297384816857812,0.8849999999999999
RHP,9.539377955620225,-7.926118588577665,-2.9378683157511825,-2.9378683157511825,1.0312295380138232,3.734103310294653,64.68706802473626,3.734103310294653,52.80200072753728,4278780013.9999995,7009354014,-9.818715065928064,8.158215384908718,-26.490057291795644,-26.490057291795644,20.841496212877676,20.841496212877676,13.364515017875018,-122.69989171305535,-43.395124031103734,-43.395124031103734,-0.10184632034695673,-0.03775001273061476,12.941549237461095,0.9381927993712911,-47.79914574799566,1.8049324835421612,-2.351018716046397,0.37065661873706335,,,,,0.0,0.0,1.2965379953604481,-4.209911623762853,-1.726443037060226,0.016649029982363315,25.805644292216506,-0.07952387574306773,-0.12253018772696152,-57.96760185522008,107477000,,-56.305529283375776,13.57650961271499,101581500,118678000,,82.90314123647457,14.512741553057852,4.491575839793948,4.402728226652676,25.150313513513513,81.26323878720135,-1.2181484773772984,-2.2659330665696618,
RLJ,2.8915554694700103,-1.9405086789846078,-1.0311603154247453,-1.0311603154247453,5.4997478299979035,16.298020904790796,34.332721929695374,16.298020904790796,16.428715957928333,2559676337.9249997,4247594337.9249997,-8.062319003997661,5.410582700275002,-15.172228572000142,-15.17222857200014,0.9599325029336021,0.9599325029336021,8.978463449481808,4484.250666869012,-25.177195734197547,-25.177195734197547,-0.12403379220099763,-0.06590989552091693,0.0,0.521576337701605,1781.960991316741,0.3222557000078432,-1.928947828170392,0.5313866032097889,0.002556727388942154,0.2556727388942154,-0.02061315181590965,0.08696286306746961,0.0,0.0,,,,0.026202368697512298,26.675740811839322,-0.06839821143040611,-0.05652067677471866,-12.407387537420192,-1892420000,,-12.407387537420192,0.9704535917078346,,189027500,,0.0,831.948375747315,0.0,,0.43872914550993763,,-0.1115095584918659,0.0,0.04
ROIC,2.554120687717721,0.28779862905944487,0.9588493089111136,0.9588493089111136,0.04334869086414204,10.783710529272952,25.276889538150353,10.783710529272952,12.888207663782447,1949993375.0000002,3319097375,60.91064456175424,6.863418821318204,18.282330536283517,18.28233053628352,1.6256000151723184,1.6256000151723184,11.682273224832286,18.26288860459998,31.11848279579974,31.11848279579974,0.016417491674811456,0.054697621729099456,1.107652600593721,0.5488373246936944,7.533311323869264,1.1156615017878426,1.586662425074507,3.3316673955144624,0.006274957216200798,0.6274957216200798,0.3822116886362217,0.05897280669027222,0.0,0.017509665083540425,-4.2940537058657755,-11.438222150650187,-3.5015499818833287,0.03137472986195682,8.356409809016057,0.033857665966516404,0.011385840359236885,-13.680638273963366,7278000.0,1241049000,-13.489030228115519,1.1453649817890497,57439000,,,75.48357349514632,0.0,0.0,4.835489141534482,,,0.027199879693166597,-0.22329699966288347,0.11
RPAI,2.0153290281461764,0.06828470471352385,0.8583974581275248,0.5635608709099941,0.19581884472270908,7.393282595859147,17.04518103343237,7.393282595859147,9.178535611520905,2489147690,4327435690,170.8288854574154,5.7881367444650875,13.589276027733797,20.698740104443853,1.5777835959541664,1.5777835959541664,10.06279765046751,17.00882266933414,23.62524261614893,35.98519566591272,0.005853810948437536,0.048312119237890624,1.1061406939427227,0.565014655492146,7.225321610074561,1.264574480867751,1.126767560956967,12.570859927252762,0.015430775825117874,1.5430775825117875,2.636022235948116,0.08994681927156122,0.0,0.0,-1.5200956024531325,-3.5688511937858407,-1.3773890239753026,0.02073048509102578,3.370323823572778,0.02494573641661797,0.004006100291900122,-9.174925955779667,24221000,,-9.088248526145108,1.1917124686949925,80286000,73864000,,62.79324393142081,209.74725972878434,0.0,5.812727248151602,1.740189599959335,,0.009185811259663708,-0.5646996522733451,0.18
RPT,2.3947536068952595,-0.1278246205733558,0.7876959590281681,0.49884454437574166,2.609293610642683,9.77320592092936,24.029554681156704,9.77320592092936,13.329186184498157,988278975,1807142975,-96.57763852242745,5.155018856409614,15.672290632582186,24.747188556404158,1.2631474359465948,1.2631474359465948,9.426342508554498,17.736563432396355,28.657970709970026,45.25210905220984,-0.010354363756448425,0.04040863056911638,1.3135977525390021,0.5890499682057804,8.036903266331658,5.496947782622567,0.6275911183457538,-6.162317990814033,0.006075334143377885,0.6075334143377885,-0.5867414248021109,0.1348950509096979,0.0,0.013514594572419027,-2.7269935997232313,-8.290607161390763,-3.3390849334025257,0.03307043899182106,5.301723080200584,0.012966198552304882,-0.0053194752158096485,-11.325607394915995,211424000,775015000,-11.120254824807944,1.3135977525390021,38491500,45630500,,84.05707519612753,258.4553570032675,0.0,4.342287655719139,1.4122361564956283,,-0.012999493765438725,-0.2888514146524265,0.075
RVI,8.563618941953704,-4.718039235463211,2.605174239749861,2.605174239749861,2.866962529628322,30.24791971355086,59.908870845731,30.24791971355086,18.519693378385192,371793750,659429750,-3.9741085362464457,2.189494900122491,7.197215339347245,7.197215339347245,0.6198773395844518,0.6198773395844518,3.883384469518515,7.665203012937498,12.765297727360718,12.765297727360718,-0.25162875922470457,0.1389426261199926,0.5743465169243697,0.49845468928216635,3.3434771995489894,3.480301923545167,1.2741183712954005,-0.552173076511961,0.006186666666666667,0.6186666666666667,-0.024586484810911344,0.13087722604353152,0.0,0.00664199298255003,0.22574146663345526,0.7420478331738312,0.24931719957873946,0.0,56.66563879453462,0.02554592332872832,-0.07875359974005268,-26.124085934742045,152799000,591843000,-19.248877906097132,0.5743465169243697,27914500,38610500,,60.83476632431923,228.69498822191537,0.0,5.999858667231997,1.5960122381248703,,-0.1419607268897856,11.540521458469918,0.116
RYN,6.301034040232746,0.2719813297523277,1.497411784302326,0.8285878024562016,0.6197742007113377,10.810731643271591,27.346521764362578,10.810731643271591,10.448534799503262,4903191705.16,6204241705.16,132.21495766913847,5.706999798825357,24.01477027025968,43.39914236415617,3.3263243586645563,3.3263243586645563,7.22133832253589,23.73003624067225,30.387031184969683,54.914999293319994,0.007563440760632027,0.02304192999043942,0.9229731279048232,0.5004616849744941,4.976267063426799,1.8715641630548088,2.445569361353991,5.50556828906566,0.03003337041156841,3.003337041156841,3.970860797627074,0.07582226236507075,0.0,0.0,-7.40163132137031,-31.145695124161684,0.0,0.009341747812382879,8.133703724533056,0.02629647366201543,0.009945737600412794,-12.757288489081997,79430000,,-12.434962927481623,0.9399616161383176,47260500,24717500,12180500,20.85182633148423,12.700561593516339,5.427581666870194,17.50446192086712,28.738886647841873,67.24910326599962,0.026144228583111117,-0.20230834518586924,1.08
SAFE,3.038472816843587,1.1591500009774598,0.6981213223075871,0.6981213223075871,1.113287588215745,26.960745215334388,57.99863155631146,26.960745215334388,33.25844036517897,3611913330,5239691330,60.91532583397983,23.238647918315348,101.1428783848114,101.1428783848114,2.618992888959143,2.618992888959143,33.71159019990092,61.605739194845505,146.72485592674525,146.72485592674525,0.016416230009594388,0.00988700357325573,1.2215922727704491,0.5695494192840693,19.1386210788694,6.02648459828517,4.410989542404643,0.6022700441865956,0.009180569324458293,0.9180569324458293,0.559237371740817,0.14626158904180098,0.0,0.07546533622938201,-106.2827380952381,-462.58035714285717,-35.955357142857146,0.011220701679888308,26.51716098040904,0.022965054068003574,0.019985816386926807,-33.24807440423827,158284000,1139137000,-32.019490547963954,1.2215922727704491,328886500,75929000,,219.11929716201175,0.0,0.0,1.6657592677934132,0.6559023385024715,,0.046573350828253014,-0.006568529705002639,0.64824
SBAC,18.816696324532323,0.21773690913853685,10.171289981663309,9.009972269142873,2.7871769626130236,-43.577930934809906,54.21398827535747,-43.577930934809906,103.77428708211767,32129385540.000004,42916621540,1332.892990665837,15.423536363374524,28.53325394548828,32.210975942061246,-6.659793013903128,-6.659793013903128,20.60189019461006,30.390570491208912,38.11311172940758,43.02560539847433,0.0007502477745797561,0.031045318272837404,-2.294966692106885,1.526793242817387,7.638771280207964,0.7693383712778606,1.7573763061943657,46.713669363202655,0.006805182275515126,0.6805182275515126,9.070579755237503,0.0932572942769089,0.0,0.34463243029223134,-8.758404243734736,-16.20288412177403,-5.615559323615886,0.03307026892095587,14.611358244152326,0.08078912194317434,0.00401624960762216,-122.77612978402449,-141811000,-7980532000,-122.02850768244103,-2.2999414225490438,102017500,69599500,,19.078247261345854,84.23188871121408,0.0,19.131736526946106,4.333275741345288,,-0.005376679264297188,-1.1613177125204368,1.975
SBRA,2.9086158621004436,0.6726073047290406,1.7243261109380317,1.7243261109380317,0.2870669725118504,16.566401932470562,28.683406710199716,16.566401932470562,12.016024028257815,3683671412.1,5996969412.1,26.612853999869955,6.154129953438951,10.380866987081937,10.380866987081939,1.08050016370275,1.08050016370275,10.018843963018467,13.868839498295584,16.89991718265643,16.89991718265643,0.03757582707983467,0.09633106765016937,0.6958683901458043,0.4304286468715015,5.349828633275209,1.9488364461702534,2.545895403489206,2.5636446390255534,0.0670391061452514,6.70391061452514,1.7841019441253603,0.054722179063733674,0.0,0.013832524475813048,-3.0431449226890326,-5.133216702256297,-1.5156637251622973,0.013209838798868634,15.833836125187174,0.04378398401048614,0.023449352147207253,-11.432143577375296,138792000,3326432000,-11.134107989457826,0.6958683901458043,220277000,,,133.87583553441624,0.0,0.0,2.7264068869707803,,,0.04092141097670723,-0.5666263535731828,1.2
SELF,0.9913206180029563,0.0,0.21529791335450316,0.21529791335450316,0.17406095886372414,4.315910899626099,7.000654734488133,4.315910899626099,0.1272324597395959,45086428.980000004,43471657.980000004,,4.902551113877374,22.57337251568095,22.57337251568095,1.126065878797692,1.126065878797692,4.726966186354758,13.542686489886364,21.764906905625917,21.764906905625917,0.0,0.04429998217170846,0.0,0.38349896355206203,-0.5030481564798208,1.253391081971415,1.0337792214283839,,0.053497942386831275,5.349794238683128,,0.25976771223562295,0.0,0.0,,,,0.013704634490161717,0.0,0.01919415330635702,0.0,-2.502071214933465,347984.0,,-2.4992006612451836,0.0,87796.5,1453743.5,,4.227702227493779,,,86.3353141634044,0.0,,0.0,0.0,0.26
SHO,1.2503955530041027,-1.8888017661033245,-0.5446963226405672,-0.5451723864331154,1.719458407426595,9.561619923736448,13.93521331858469,9.561619923736448,3.7103571878631736,2722135185,3098518185,-6.726486721902498,10.16078469687129,-23.32492339659826,-23.304555249257323,1.3287497412922888,1.3287497412922888,11.565691641844527,-28.195517362185377,-26.55000372734673,-26.526819325896565,-0.14866601858349662,-0.04291006583495595,0.36244852692805585,0.30020862660459785,-3.4249640562724077,4.792715297434825,-4.921085669875052,0.2883819426769692,,,,0.2911580927638799,0.0,0.0,3.4127262625376495,-7.834195982103694,-4.007690733105243,0.03574388031623032,20.15812747931087,-0.0853027575162595,-0.13554164711524905,-2.4340278263954036,344352000,,-2.152522438006693,0.36355218378595794,6595000.0,40744000,,11.670473972214134,54.13111627629776,0.0,31.27550782162036,6.742886995659862,,-0.18806338935500683,-0.15960738738991026,
