BRG,"Bluerock Residential Growth REIT, Inc Class A",REIT—Residential
CDR,"Cedar Realty Trust, Inc",REIT—Retail
CMCT,CIM Commercial Trust Corporation,REIT—Office
PW,Power REIT,REIT—Specialty
PEI,Pennsylvania Real Estate Investment Trust,REIT—Retail
CLPR,Clipper Realty Inc,REIT—Diversified
PINE,"Alpine Income Property Trust, Inc.",REIT—Diversified
CORR,"CorEnergy Infrastructure Trust, Inc",REIT—Diversified
NYC,"New York City REIT, Inc. Class A",REIT—Office
SOHO,Sotherly Hotels Inc,REIT—Hotel & Motel
WPG,Washington Prime Group Inc,REIT—Retail
SELF,"Global Self Storage, Inc",REIT—Industrial
CDOR,"Condor Hospitality Trust, Inc",REIT—Hotel & Motel
WHLR,"Wheeler Real Estate Investment Trust, Inc",REIT—Retail
SQFT,"Presidio Property Trust, Inc.",REIT—Diversified
MDRR,"Medalist Diversified REIT, Inc",REIT—Diversified
HMG,"HMG/Courtland Properties, Inc",REIT—Retail
